ECO_ID,SpeciesCount,BiomeType,GF_H,LC_A,PH_D,RS_T,PT_U,LS_C,LM_L,LV_P,SS_B,IF_I,OP_H,FS_Z,PF_C,FT_D,FD_D,SizeCategory,sPC1,sPC2,sPC3
30107,2077.2,Trop/Subtrop Forests,-0.926759668,-2.895588937,-1.426147816,-0.704862618,0.648825856,-1.565823991,-1.059538558,-1.777163922,0.969642539,0.101751943,0.73206488,-1.029281361,0.2520277,0.246392558,-0.342246773,"(1652, 9633]",4.53709236669519,0.115353451399956,-1.31302733280794
30108,1364.866667,Trop/Subtrop Forests,0.582077667,-1.94905524,-0.629283257,-0.077303299,0.959884984,-1.544156396,-0.104277074,-0.96516567,1.218198912,0.727192819,0.894051137,-0.636657409,0.114218238,1.426042767,-0.226378519,"(670, 1652]",0.515624504895686,-0.712577234846414,-0.465230038759811
30109,2132.866667,Trop/Subtrop Forests,-0.142584593,-2.52081931,-1.068555426,-0.283451212,0.541318473,-1.52568517,-0.515665004,-1.364273067,1.246194473,0.434977457,0.542511646,-0.637939463,-0.018947401,0.777679244,-0.141099239,"(1652, 9633]",2.61845227788514,-1.59739367079753,-0.688916150017091
30110,701.5333333,Trop/Subtrop Forests,-0.793801933,-2.512728595,-1.344493819,-0.509761228,0.557469719,-1.561390404,-0.923428332,-1.632221651,1.26630126,0.364153363,0.822830115,-0.905636859,0.38020386,0.467382822,-0.330051634,"(670, 1652]",3.50724861256717,-0.445780988886626,-1.01056156725451
30111,2831.866667,Trop/Subtrop Forests,-0.298893078,-1.982199484,-0.835429514,-0.909618437,0.847439063,-1.462619568,-1.000524091,-1.208039623,1.211796844,0.331102984,0.996775649,-0.756581895,0.424739612,0.734793778,-0.206439806,"(1652, 9633]",2.48126876488537,-0.486046858039089,-0.723795899674388
30112,1471.933333,Trop/Subtrop Forests,0.365346615,-1.592140994,-0.30351725,0.280996405,0.947099951,-1.318466866,-0.40593193,-1.125896902,1.344566886,0.586544925,1.24992563,-0.54720691,0.175537779,1.46694899,0.01630381,"(670, 1652]",0.163291549463259,-1.80692893380358,-1.02032759288291
30113,246.1333333,Trop/Subtrop Forests,-0.421987526,-3.172720492,-1.550123248,-1.095952713,0.962225683,-1.608879413,-0.877931993,-0.917167866,1.025230136,0.502056613,0.773230843,-0.931282302,0.346489229,0.259929507,-0.299812424,"[57, 670]",3.23486975339666,0.920740425441415,0.100026458075104
30114,1519.4,Trop/Subtrop Forests,-0.185893216,-2.079573399,-0.947913519,-1.407143066,0.778439063,-1.572623199,-1.016498205,-1.009442192,1.236931032,0.409960478,0.674913257,-0.660723403,0.307591714,0.77836281,-0.265032257,"(670, 1652]",2.75944240753277,-0.573076760721201,-0.0513294093639142
30115,903.6,Trop/Subtrop Forests,0.103781776,-2.527152822,-1.023428191,0.180019699,1.11667386,-1.707231539,-0.594160576,-0.628359616,1.216447665,0.817238548,0.641836293,-0.780779283,0.174431839,1.597887437,0.261834572,"(670, 1652]",0.487306694488326,-0.905693275974902,1.18294573739293
30116,2275.666667,Trop/Subtrop Forests,0.529046405,-2.351522057,-0.728500915,-0.25466803,1.057255344,-1.803416448,-0.52059154,-0.716924139,1.208075014,0.729208462,0.77783878,-0.726059564,0.1319229,1.477630627,0.048841707,"(1652, 9633]",0.673837402509995,-0.631831340818795,0.738545623650989
