ECO_ID,SpeciesCount,BiomeType,GF_H,GF_W,LC_A,LC_P,PH_D,PH_E,RS_F,RS_T,PT_M,PT_U,LS_C,LS_S,LM_E,LM_L,LV_P,LV_R,SS_B,SS_U,IF_D,IF_I,OP_E,OP_H,FS_A,FS_Z,PF_C,PF_S,FT_D,FT_F,FD_D,FD_I,SizeCategory,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
10404,933.2666667,Temp Forests,0.751918159,0.248081841,0.085606773,0.914393227,0.245333333,0.754666667,0.526785714,0.473214286,0.229647631,0.770352369,0.063520871,0.936479129,0.643678161,0.356321839,0.54368932,0.45631068,0.774621212,0.225378788,0.26173913,0.73826087,0.396031061,0.603968939,0.766722408,0.233277592,0.562280702,0.437719298,0.8955495,0.1044505,0.452865065,0.547134935,"(670, 1652]",-0.299186390355211,-1.70100845857315,3.2804497513737,1.06451115608654,1.16186442352241,0.338755861211102,-0.932951864745607,0.172322593554444,1.20227722108578,-0.456482403473544,0.152430115100156,0.231643574282198,-0.316088675812352,-0.0265382061660041,-0.113791521755248
10405,2163.933333,Temp Forests,0.626150307,0.373849693,0.126277074,0.873722926,0.401337793,0.598662207,0.45308311,0.54691689,0.210729821,0.789270179,0.114443567,0.885556433,0.535308953,0.464691047,0.408746356,0.591253644,0.763917107,0.236082893,0.278747026,0.721252974,0.351614158,0.648385842,0.722265023,0.277734977,0.601239669,0.398760331,0.85081771,0.14918229,0.455864571,0.544135429,"(1652, 9633]",-0.557430910241501,-1.06427315170824,1.49561316129039,0.710629109420023,0.420473399607458,0.254348853134466,-0.242767069697258,-0.30741860237254,0.508600679851357,0.438420988185433,-0.0912456962164505,-0.16055841208307,-0.0907583456868209,0.209561303436911,0.250798434814645
10406,1923.066667,Temp Forests,0.623749456,0.376250544,0.15503876,0.84496124,0.377272727,0.622727273,0.422727273,0.577272727,0.228014745,0.771985255,0.127096205,0.872903795,0.527871054,0.472128946,0.398384926,0.601615074,0.77782826,0.22217174,0.298405467,0.701594533,0.32296757,0.67703243,0.718777293,0.281222707,0.586271744,0.413728256,0.829268293,0.170731707,0.453125,0.546875,"(1652, 9633]",-0.473031962489533,-0.543901526184827,1.04360602755378,0.804999839364668,0.503285811841908,-0.0215938482007945,-0.401629564352049,-0.22443023142159,0.352944246173894,0.310701091863517,-0.136673247330522,-0.135193776685235,-0.336235063411252,0.3395665297758,0.132898759446977
10407,313.2666667,Temp Forests,0.728426396,0.271573604,0.046070461,0.953929539,0.195121951,0.804878049,0.60483871,0.39516129,0.237410072,0.762589928,0.0626703,0.9373297,0.619318182,0.380681818,0.510460251,0.489539749,0.734870317,0.265129683,0.280205656,0.719794344,0.474358974,0.525641026,0.778054863,0.221945137,0.59375,0.40625,0.872576177,0.127423823,0.420168067,0.579831933,"[57, 670]",0.620470647706393,-2.57240600245763,3.52909366657503,1.48554546631546,0.661869923867017,0.555685177090159,-0.525901529940274,0.289361360324877,1.24392216129732,0.292327048815378,0.306284360611582,0.5019313165338,-0.392362270934683,-0.54119791044891,0.186728957817427
10408,1075.933333,Temp Forests,0.71957672,0.28042328,0.160392799,0.839607201,0.349900596,0.650099404,0.403301887,0.596698113,0.220061412,0.779938588,0.109250399,0.890749601,0.520289855,0.479710145,0.476658477,0.523341523,0.77978636,0.22021364,0.280525502,0.719474498,0.36121673,0.63878327,0.734386757,0.265613243,0.586342229,0.413657771,0.876777251,0.123222749,0.443815683,0.556184317,"(670, 1652]",-1.0167738344434,-0.996718970798113,1.88186892375656,1.19558733107689,0.642971061428192,-0.0969412872892218,-0.555897240525342,-0.0793224240835373,0.664192556291826,0.287061048868492,-0.0335179804822712,0.158194903072233,-0.54986996989062,0.194243904555728,0.112273775221167
10409,4307.333333,Temp Forests,0.595662562,0.404337438,0.135200484,0.864799516,0.268939394,0.731060606,0.473938224,0.526061776,0.160913952,0.839086048,0.093902201,0.906097799,0.646548734,0.353451266,0.499048223,0.500951777,0.848710717,0.151289283,0.255140747,0.744859253,0.369133918,0.630866082,0.596428571,0.403571429,0.636398913,0.363601087,0.897907788,0.102092212,0.552284264,0.447715736,"(1652, 9633]",-1.69523469953281,0.795725241417357,3.422186440931,-1.99029136583799,0.271956605856872,0.426963656680743,-0.112413561500304,-0.252494953941156,0.0647350115918186,0.690176225121536,0.0089067843053733,-0.0336485838021121,-0.0740435709446535,0.348559880206802,0.26989230657469
10410,524.9333333,Temp Forests,0.698027314,0.301972686,0.109120521,0.890879479,0.312030075,0.687969925,0.410958904,0.589041096,0.274678112,0.725321888,0.085899514,0.914100486,0.510769231,0.489230769,0.438961039,0.561038961,0.787564767,0.212435233,0.297297297,0.702702703,0.411302983,0.588697017,0.770739065,0.229260935,0.578947368,0.421052632,0.861666667,0.138333333,0.443877551,0.556122449,"[57, 670]",-0.144587662197981,-1.10881419965592,2.22523589683754,1.95649930317974,0.791300315943357,0.612534588059473,-0.956821300207083,0.575143610657085,0.727082339812688,0.498693889458727,-0.195516197812032,0.0224859131478323,-0.540237489223087,0.00727799889106316,0.249255211589549
10411,1441.533333,Temp Forests,0.747637576,0.252362424,0.182783019,0.817216981,0.333892617,0.666107383,0.419413919,0.580586081,0.16121673,0.83878327,0.098837209,0.901162791,0.574267782,0.425732218,0.565464896,0.434535104,0.829034193,0.170965807,0.240535818,0.759464182,0.341965862,0.658034138,0.639297848,0.360702152,0.63960852,0.36039148,0.933333333,0.066666667,0.494832827,0.505167173,"(670, 1652]",-2.52490063946264,-0.228915273976325,2.97014390777447,-0.93745648218288,0.33910663019521,-0.399585284185314,-0.348239081025926,-0.145325955180526,0.275279611215624,0.356642154353222,-0.0596114061099757,0.22322852512497,-0.448200165128674,0.323408205376675,0.134875475870689
10412,1340.266667,Temp Forests,0.722090261,0.277909739,0.151724138,0.848275862,0.243902439,0.756097561,0.473799127,0.526200873,0.156831043,0.843168957,0.088861076,0.911138924,0.639455782,0.360544218,0.589566929,0.410433071,0.834957765,0.165042235,0.249375,0.750625,0.367794486,0.632205514,0.614501511,0.385498489,0.647530864,0.352469136,0.931056293,0.068943707,0.525165563,0.474834437,"(670, 1652]",-2.19276066338096,0.0384083686810633,3.68996892821342,-1.71560432078322,0.421366978515858,-0.0699429299359007,-0.220881517539577,-0.0691459162288645,0.285860686317908,0.419477371548485,0.0499315268630518,0.472657791779062,-0.439794526129889,0.22521367094669,0.126736538262859
10413,1277.933333,Temp Forests,0.720323182,0.279676818,0.132585752,0.867414248,0.281663516,0.718336484,0.485915493,0.514084507,0.156697557,0.843302443,0.089425587,0.910574413,0.630662021,0.369337979,0.595876289,0.404123711,0.822613406,0.177386594,0.232435982,0.767564018,0.378360215,0.621639785,0.622867972,0.377132028,0.634114583,0.365885417,0.935333333,0.064666667,0.527932961,0.472067039,"(670, 1652]",-2.20271160187863,-0.188121048415488,3.79223394244328,-1.51019637868884,0.32273994859663,0.210607853535368,-0.0719036410542946,-0.171648118338532,0.483863233653111,0.242847170963127,0.0699162399319567,0.420686054003405,-0.344719867418262,0.312952424224403,0.116733536075394
