Ref_ID,Source,Database Code in Data,Category,Website Link,Authors or Editors,Publisher or Institution,Reference,Reference Link
Ref11,e Flora of South Africa,World_Flora_Online,Floras,https://www.worldfloraonline.org/,South African National Biodiversity Institute,South African National Biodiversity Institute,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373. ",https://doi.org/10.1002/tax.12373
Ref12,Flora of West Tropical Africa,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Hutchinson, J., Dalziel, J.M. et al.",Crown Agents for Oversea Governments and Administrations,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref13,Flora Zambesiaca,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Stedje, B., Kativu, S. et al.","Royal Botanic Gardens, Kew","Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref14,Flore d Afrique Centrale,World_Flora_Online,Floras,https://www.worldfloraonline.org/,National Botanic Garden of Belgium,National Botanic Garden of Belgium,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref15,Flore du Gabon,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Aubréville, A., Leroy, J.F. & Morat, P.",Muséum National d'Histoire Naturelle,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref16,Flora of Thailand,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Smitinand, T. & Larsen, K.",Applied Scientific Research Corporation of Thailand,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref17,Flora de Colombia,World_Flora_Online,Floras,https://www.worldfloraonline.org/,Natural Sciences Institute (UNAL) & COLCIENCIAS,Natural Sciences Institute (UNAL) & COLCIENCIAS,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref18,Flora de Nicaragua,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Stevens, W.D.",Missouri Botanical Garden Press,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref19,Flora de Panama,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Woodson, R.E. & Schery, R.W.",Missouri Botanical Garden,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref20,Flora of Taiwan 2nd Edition,World_Flora_Online,Floras,https://www.worldfloraonline.org/,Editorial Committee of the Flora of Taiwan,National Taiwan University,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref21,Manual de Plantas de Costa Rica,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Hammel, B.E. et al.",Missouri Botanical Garden Press,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref22,North Eastern Flora,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Naczi, R. et al.",The New York Botanical Garden,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref23,Plants of the World Online,World_Flora_Online,Floras,https://www.worldfloraonline.org/,POWO Editorial Board,"Royal Botanic Gardens, Kew","Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref24,The Illustrated Flora of Turkey,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Çıngay, B. et al.",ANG Foundation; Nezahat Gökyiğit Botanical Garden,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref25,Flora Helvetica,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Lauber, K., Wagner, G. et al.",Haupt Verlag,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref26,Flora Neotropica,World_Flora_Online,Floras,https://www.worldfloraonline.org/,Organization for Flora Neotropica,The New York Botanical Garden Press; Springer Nature,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
Ref27,Flora of the U.S.S.R.,World_Flora_Online,Floras,https://www.worldfloraonline.org/,"Komarov, V.L.",Bishen Singh Mahendra Pal Singh; Koeltz Scientific Books,"Borsch, Thomas & Berendsohn, Walter & Dalcin, Eduardo & Delmas, Maïté & Demissew, Sebsebe & Elliott, Alan & Fritsch, Peter & Fuchs, Anne & Geltman, Dmitry & Güner, Adil & Haevermans, Thomas & Knapp, Sandra & Le Roux, Margaretha & Loizeau, Pierre-André & Miller, Chuck & Miller, James & Miller, Joseph & Palese, Raoul & Paton, Alan & Zamora, Nelson. (2020). World Flora Online: Placing taxonomists at the heart of a definitive and comprehensive global resource on the world's plants. Taxon. 69. 10.1002/tax.12373.",https://doi.org/10.1002/tax.12373
