ECO_ID,SpeciesNumber,SizeCategory,BiomeType,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
60158,669.6,"[57, 670]",Trop/Subtrop Forests,4.57002484526211,-0.714757842531957,-0.0687409295360226,1.90655918896759,0.633666681586638,-0.656247090292017,-1.61105203654835,1.05996852119984,-1.08679950534888,-0.0596942235874298,0.666183826615564,-0.214280997242307,0.190338432334584,-0.141057835328524,0.139764088258993
60160,6054.4,"(1652, 9633]",Trop/Subtrop Forests,2.38922927855715,-0.0200968860454987,-1.6072383281007,-0.0124687374417147,0.663509703177908,-0.538249722659253,-0.202976630528907,0.449764658653297,0.256066234951389,0.182575862176514,0.354754273268666,0.303330195583099,-0.0265075935307935,-0.0187735610583711,-0.0303202313504939
60161,1754.2,"(1652, 9633]",Trop/Subtrop Forests,2.65258904966414,0.130760003426273,-0.423592530718306,-0.0597511067947143,0.605679748419471,0.00541836348030872,-0.312494958169809,-0.34276161011796,-0.243010673855737,-0.160467115510481,0.0251391179383093,0.191439581195933,-0.0468952011839116,0.0391312173407272,0.0852676557822318
60162,1861.066667,"(1652, 9633]",Trop/Subtrop Forests,2.2516156740323,0.577025163120133,-1.43291171719346,-0.451072144888374,0.369941012144161,-0.431295151658767,0.365667269419247,-0.226680658832175,0.0545349251168736,-0.188827047983233,0.183414718384709,-0.149065195473665,0.192497812909223,0.143351233618533,0.0921692424387953
60163,1769.066667,"(1652, 9633]",Trop/Subtrop Forests,5.71791235528398,-1.49344096736941,1.2312172997319,-0.392819998068382,0.424522761728543,-0.84971285630103,-2.19140078611399,-0.931451276676246,-0.109858018784392,-0.372732073359697,0.0983908292908674,0.00644499248622157,0.274018250778519,-0.117228750029078,0.243613992330646
60164,1185.2,"(670, 1652]",Trop/Subtrop Forests,1.31533535142389,-0.00579710150193052,0.691000841678083,-0.0979973065177308,0.264918985417336,0.902562619082187,0.142848836570445,-0.101648146444899,-0.436659681628958,-0.363433097721077,-0.029986725282939,-0.154167657332578,-0.466149809081951,-0.0330665325165886,0.133683713057702
60165,1378.2,"(670, 1652]",Trop/Subtrop Forests,1.36580064643312,0.99772346608645,-0.194706385627355,-1.51941983310919,-0.720055415295494,-0.276133958271537,0.0745827228437833,-0.318612983730354,0.263556464153555,-0.443676769214214,-0.487740162373176,0.102358199232183,-0.217781219964598,-0.302689966230298,-0.104096410877765
60166,4769.8,"(1652, 9633]",Trop/Subtrop Forests,4.24807024529784,-0.216061720364657,0.667847009540064,-0.183562652035513,0.698708000162287,-0.611935913248101,-0.995203962236602,-0.798578894716171,-0.0661442519639982,-0.390750729989758,0.219432457464897,-0.047483241559346,0.0966830520502578,-0.0273445322661446,0.0536504361477467
60167,5193.8,"(1652, 9633]",Trop/Subtrop Forests,2.56238996814026,-0.162362291587877,-3.46895826047748,0.283084197113823,0.99264359643905,-0.642026788755569,0.00980513288897994,0.275436676702406,0.467333154221929,-0.367401664043473,0.416888921806466,0.0793649676649733,0.371342223668258,-0.0771213549656887,0.443862682246348
60168,963.6,"(670, 1652]",Trop/Subtrop Forests,4.10907232894169,0.0839628572710768,1.82597341157404,1.04623935764358,1.39018598516066,-0.717290199791587,-2.04322930922348,-0.525853740838533,0.334182881956939,0.692510407882687,0.599391921859149,-0.120071134668076,-0.0596448344038991,0.277236838283536,-0.20073075317898
60169,1541.866667,"(670, 1652]",Trop/Subtrop Forests,4.37690129175539,-1.76780493094881,-3.64292014524136,0.0279539943863106,0.0715347265796611,-0.257373302260814,-0.932029343723534,2.0296005369809,-0.857343954529594,-0.269266643567547,-0.125251043604567,-1.31078925145112,0.278285896320753,0.0462392526511152,0.272459805434318
60170,1411.266667,"(670, 1652]",Trop/Subtrop Forests,3.05967544804259,-0.380581225158128,0.959010336706848,1.449642823991,1.30099360734764,0.159568447226483,-0.943435961565153,-0.255933227645122,-0.120920676601128,0.00324214369341302,-0.101549928755136,0.0139742678109148,-0.569065711443967,0.0166839114262754,-0.0679705169123297
60171,593.6666667,"[57, 670]",Trop/Subtrop Forests,1.44108015528381,-0.107494740515974,-2.08726662546065,0.704440954032328,0.723382084325538,1.15558772614953,0.0138114497050634,0.81867365049625,0.625551833716661,-0.137047841473288,0.571885602048336,-0.265566071659975,0.152915251414352,-0.116079509686039,0.0642733159126214
60173,3109.866667,"(1652, 9633]",Trop/Subtrop Forests,4.29261809826916,-0.414323400289674,0.742555436461193,1.38611275846098,0.917068170834921,-0.393730274331415,-1.73886475344609,0.126085395372329,-0.00848484545519951,0.214693950735594,0.283457900898333,0.0303996495695445,0.158815643868248,0.078189191268222,-0.0152336570741377
60174,2947.933333,"(1652, 9633]",Trop/Subtrop Forests,4.94684024129871,-0.40603004917404,-0.547686633065792,-0.992497635722567,0.559006609849201,-0.955950289850743,-1.22674481843774,-0.113071400527849,-0.128428718012564,-0.358959048783972,0.2368903728149,-0.232039200658255,0.214444378248375,-0.00747868090175469,0.256233103390087
60175,1255.6,"(670, 1652]",Trop/Subtrop Forests,3.8567133264448,-0.752320363339126,-2.01454450898589,-2.60201565456186,0.38616251680695,-0.125982597592359,-1.16808500662471,0.1771809098979,-0.128174028039761,-0.0986935241598042,0.101548539903243,-1.05276356667606,0.348421001939824,0.420212097606462,0.00221556353869573
60176,3275.066667,"(1652, 9633]",Trop/Subtrop Forests,1.21956742480183,0.421163458505756,-0.275571696190319,-0.0883335733434205,-0.060707281581093,0.17966992308517,0.46282951893018,-0.18953387439087,-0.0177560474760753,-0.212051281161191,-0.0252429626562423,0.099509163626621,-0.0051342523312024,-0.118504255145984,-0.0457242787757827
60177,1081.533333,"(670, 1652]",Trop/Subtrop Forests,2.00832901213146,-0.0316112996167143,-0.952248293502229,-2.09932190956026,0.0600279123029165,0.118156538045438,-0.22932352027353,-0.465141861011877,0.178816018857159,0.0388808182499483,0.0423541055636373,-0.572319394614955,0.289282408830246,0.231746333826636,-0.0234110479110123
60178,1928.133333,"(1652, 9633]",Trop/Subtrop Forests,3.24792816630525,-0.257507305065344,-0.725489258776613,-0.381969746968847,1.08212857868524,0.223189779025742,-0.330363416509316,-0.741647456265416,-0.105171683337344,-0.503126501791607,0.147365833930461,-0.277231894322464,0.123126318386626,0.0776899151622738,0.416469387703102
60179,431.4,"[57, 670]",Trop/Subtrop Forests,3.47491586660543,0.256159904474688,-0.636822075127591,-0.770201704539402,-0.210520336366281,-0.0697500830129491,0.154741891104646,0.442330925389203,0.158260029274809,0.292472150846288,0.352893339044631,-0.395719039750401,0.191502934838951,0.296515232878338,0.153344588310289
60180,1314.866667,"(670, 1652]",Trop/Subtrop Forests,2.61366682438423,-0.445254905058005,0.796781241203009,2.06052369672333,1.36294729547129,0.214508575117543,-0.491147085577851,0.0960617176839593,-0.45434300779925,-0.0428801604258195,-0.0323999314383135,-0.102796941061337,-0.601717259395304,-0.0432700473094245,-0.146792471535398
60181,1661.866667,"(1652, 9633]",Trop/Subtrop Forests,2.0003877003737,0.286475073224337,0.788779989586158,0.76770050303843,0.0928396227780527,0.429481013785431,0.251319460592658,-0.0744665410744138,-0.253680940192092,-0.351680896996577,-0.231917170528647,0.125387053892986,-0.252934055827678,-0.0886958189927126,-0.0197660899663169
60182,2325,"(1652, 9633]",Trop/Subtrop Forests,3.87146487388274,-0.523423528250613,-0.256759171981419,1.01286170699882,0.393364052678145,-0.323997354655983,-0.947572243871214,0.610368571219185,-0.416678878232401,-0.184585443411044,0.273943145273944,-0.276469128118989,0.00104387425191258,-0.0706224075135506,0.0426160110191833
60201,1132.533333,"(670, 1652]",Trop/Subtrop Forests,2.91854745487419,-0.211422107758752,0.114221435914388,0.807000174438798,1.27046041936401,-0.187514943805307,-0.155649064641306,-0.169741234699779,-0.546216349395125,-0.115701858175781,0.0737473059705055,-0.064170539976005,-0.21589950931873,-0.0447915217275935,0.0679320428954296
60202,2732.666667,"(1652, 9633]",Trop/Subtrop Forests,2.0298899043763,1.18045787569485,0.526081395126698,1.1842665627352,-0.104125330476251,-0.970320097653309,0.270912710416772,0.365473692247983,-0.282966249874134,-0.332779735336431,0.0506896727602913,0.0568348045649495,-0.154745258816859,-0.0343188631236874,-0.421821181153615
60204,1805,"(1652, 9633]",Trop/Subtrop Forests,0.232576915158108,0.195624943036157,-0.316324631326749,-1.8049860057401,-0.287793095606757,0.560877932537874,0.531632515385534,-0.37341131230162,-0.429112462506747,-0.288284548588883,-0.228318583426837,-0.13062725219869,0.174204824362583,0.0496690069213792,-0.0917171687132536
60205,2824.6,"(1652, 9633]",Trop/Subtrop Forests,0.77704657440777,1.00786744571974,0.46516202071046,-0.351870030928736,-0.229588118401175,-0.361909787976966,0.858523410948583,-0.38621875915218,-0.591467318520021,-0.248230429332075,-0.128484981302432,-0.0759590306386192,0.250123164087728,-0.102859457246525,-0.204893275095159
60206,2200.466667,"(1652, 9633]",Trop/Subtrop Forests,2.18101775008713,0.861641876235079,0.144077797822091,-1.44016103599842,-0.92469108228183,-0.407518164240678,-0.659547565336543,-0.292544652180287,0.17168369644891,-0.0590563646156489,-0.421804137739188,-0.087989951679969,-0.0636522928473049,-0.372149620281787,0.0786392753702636
60207,840.7333333,"(670, 1652]",Trop/Subtrop Forests,2.81919634695287,-0.313798374580718,1.04215363033962,0.8449634897987,0.741890106981329,-0.1372284977434,-0.363824942409136,-1.17486908474728,-0.306837530541791,-0.100894527144038,0.17223492069365,-0.157117318802826,0.253819823786726,-0.187856155128097,0.151427655897386
60209,2650.066667,"(1652, 9633]",Trop/Subtrop Forests,1.45249082077708,0.731231416979268,-0.201073693962756,0.851296521050043,0.493420497412503,0.407982464930013,0.299409027811505,0.00119198411651217,-0.132626529619374,-0.346942818594955,-0.151376239776078,0.0685048497110608,-0.0837157899440365,-0.0565805128473229,-0.0235374393136952
