ECO_ID,PD,MDT,MPD,MNTD
41401,3538.5008130061,74.6183685336111,235.118967382768,111.564152292048
41402,10574.4893157315,45.0869184877396,241.521559472356,57.8492149467762
41403,6293.7891022058,49.7919974851333,240.357880579654,62.4839174162484
41404,5254.2959952028,65.2317431949128,243.659278405483,82.2584111130824
41405,29203.0025266309,32.3385575425534,244.213254233356,34.0470341403113
41406,2928.9236086001,69.4462106051282,234.887278940493,99.2439613268268
50201,23925.8681677737,25.3829260765911,234.469488313854,29.2530308504978
50302,78016.6187100072,17.0767833734363,235.708171290529,21.3788803578065
50303,80027.3527779974,17.1018339064383,236.310799876068,21.4379186912016
50401,39973.3324131608,22.6833976000437,243.877351874775,27.7361126310329
50402,54490.5418517216,19.7773269631503,243.047548922059,25.0350092178241
50403,59793.9010193523,18.828245439343,242.515969717112,23.6748014494549
50404,52963.4806497708,19.600858745729,242.457143706816,23.8953655115292
50405,40940.669857351,23.4613489254974,240.392785187683,29.102373056142
50406,36557.6799843579,21.5822584660463,242.811500309332,26.5909550700848
50407,46266.8621421789,19.6986378139289,243.429119472881,24.7189925813904
50408,29367.9321149574,23.8922009556283,243.217490598632,30.202972117411
50409,41783.8439071854,22.7949866890027,241.851977623863,27.7766569764091
50410,46922.8830951748,19.908243749162,243.277818047604,25.1414027220916
50411,64057.3582233431,18.9345819617958,243.949332101513,24.6703294509895
50412,37942.0802009848,22.7667160955662,241.15803508719,26.5199645784098
50413,71419.8304785211,18.2526149668813,242.827835731161,23.1029257165494
50414,54035.9241230059,18.716060735094,243.48382995689,23.8437821894916
50415,46007.0879639874,19.0813543372105,242.491110820173,24.0263832267911
50416,40326.2835366141,19.9751932340879,242.158493594438,24.418070169222
50417,32798.2256745716,22.4244031617203,242.635116286928,27.7941210676009
50501,15559.0195443949,22.7629216175231,238.626678198932,24.0715160115715
50502,14588.7683507753,26.3947652480771,241.075990872271,28.6721015035793
50503,47554.7860268195,16.9008041862303,237.051774503955,20.3201391999802
50504,33949.1407281825,26.4777150422014,242.147705283442,31.9694929091007
50505,28239.6233614833,18.2146152573877,238.236443143371,21.9018594801907
50506,26559.7218516677,23.1829765826967,242.576078314121,27.6866661336131
50507,25165.1217841501,20.2408081982011,240.060290463278,23.3730049456323
50508,30431.0444510478,20.041360987589,240.38190622103,23.9441845595581
