ECO_ID,Realm,Richness,TaxMPD_Obs,TaxMNTD_Obs,TaxDis_Obs,TaxPos_Obs,TaxMPD_Null_Mean,TaxMNTD_Null_Mean,TaxDis_Null_Mean,TaxPos_Null_Mean,TaxMPD_Null_SD,TaxMNTD_Null_SD,TaxDis_Null_SD,TaxPos_Null_SD,TaxMPD_SES,TaxMNTD_SES,TaxDis_SES,TaxPos_SES
40111,IM,424,0.423023625793598,0.0405660377358491,1.77123878093513,0.35594483015711,0.403596938549218,0.0244430865847057,1.72878521442491,0.251135360359678,0.00393974738176527,0.00206831505059894,0.00913650457508475,0.0337466792531498,4.93094743442031,7.79521047650575,4.64658734216576,3.10577135638167
40112,IM,307,0.424260320768919,0.0462719298245614,1.77478236547595,0.25425356921143,0.403863836891904,0.0302927383072206,1.72855172130118,0.252979473415253,0.00461348492068736,0.00272794896838419,0.010695467989317,0.0388033942744663,4.42105788306686,5.85758447189926,4.32245173572048,0.0328346481023022
40113,IM,355,0.419941625890634,0.0423040604343721,1.76284346132773,0.329178685775078,0.403506372344176,0.0276569439040636,1.72815292528391,0.25223575871401,0.00433141831755691,0.00239633946928142,0.0100876181204463,0.0377183412116643,3.79442767738214,6.11228781150137,3.43892241256707,2.03993401059944
40114,IM,449,0.403250836712528,0.0291948833709556,1.72535416859496,0.394651208564111,0.403597275770808,0.0237088575811706,1.72887267604181,0.250017744933867,0.00375188342485147,0.00192578315252326,0.00871470003646267,0.0331789023754268,-0.0923373727405884,2.84872457347907,-0.403743953563518,4.3591997707966
40115,IM,386,0.415046897546898,0.0368831168831169,1.755747080692,0.358976152256503,0.403559159149454,0.0261843754457363,1.72842355898904,0.254113881489318,0.0040548053718914,0.00219586165821147,0.00939117629659808,0.0358336069632482,2.83311709042283,4.87222926698155,2.90948874134654,2.92636660536948
40117,IM,37,0.397310924369748,0.0780952380952381,1.69115197560178,0.535312317036231,0.403567205708382,0.10510277220689,1.70492341814927,0.358065716971029,0.0146614599169658,0.0149460791057351,0.03359920895702,0.0845267842335749,-0.426716123364678,-1.8069979370903,-0.409874011174017,2.09692823017392
40118,IM,6946,0.410135558367825,0.00469973890339426,1.7471723745689,0.33647020002933,0.403656179550018,0.00343641517232517,1.73104427254666,0.23750937240294,0.000886569588735714,0.000162085091702094,0.00205877752249062,0.00767920833143414,7.3083702623356,7.79420067448913,7.83382461002043,12.8868528310793
40119,IM,2470,0.416666040312175,0.00887052341597796,1.76152229230696,0.159113245069719,0.403606850754133,0.00717555248549435,1.73068573154962,0.239250436914718,0.00163001022642103,0.000416795894661933,0.00378575213192155,0.0145260510017541,8.01172247042638,4.06666896721336,8.14542518442507,-5.51679130379771
40120,IM,399,0.426288501824074,0.0417710944026734,1.77814421552968,0.370375921789093,0.403669167884826,0.0255758169993798,1.72881051509772,0.250446465770887,0.00423643772733921,0.00211740198020684,0.0097974596112924,0.0347989052916909,5.33923437450252,7.64865507574125,5.03535634636249,3.44635714867855
40121,IM,663,0.408764385928053,0.0211704834605598,1.74192464249014,0.145847085365466,0.403635448484707,0.0181499786154952,1.72969633528324,0.244602300210836,0.00317883510097154,0.00131639951848302,0.00740497959527475,0.0281759175869635,1.61346445488091,2.29451986471807,1.65136271472109,-3.50495115342976
40122,IM,86,0.388946648426813,0.0356589147286822,1.68683630398529,0.454097395733574,0.403471122786032,0.0667036078928391,1.71960302438137,0.298483226692337,0.00934422538658414,0.00808476167338571,0.0216888034859454,0.0674502150784029,-1.55437971135337,-3.83990207977969,-1.51076662284826,2.30709670622035
40123,IM,1432,0.39693764341554,0.0129184347006129,1.71131720034009,0.417040424673738,0.403685621931817,0.0106034759471002,1.73057753837756,0.241013293841759,0.00198698515474928,0.000654667958899573,0.00462226126224491,0.0182370328906614,-3.39608904482686,3.53608072923544,-4.16686486218154,9.65218036768018
40124,IM,1112,0.415939890258362,0.0188484848484848,1.75746824999341,0.301619977315814,0.403749348942523,0.0126666576261852,1.73051231816816,0.242158374705468,0.00257115908698531,0.000857565104911783,0.00597737828096553,0.0207797561694706,4.74126294928418,7.20858065106966,4.50965800693736,2.86151589678933
40125,IM,63,0.425669909540877,0.108994708994709,1.76637084196138,0.387386151322042,0.40382982015734,0.0791919633786211,1.71629529497697,0.316259266507918,0.0105224112941651,0.0101477021372802,0.0243862957987697,0.0741995540475485,2.07557837961038,2.93689598028304,2.05342981966682,0.958589114545684
40126,IM,147,0.411567732115677,0.0521541950113379,1.74221019638623,0.27718600924371,0.403890143734137,0.0488550162181294,1.7251776090289,0.272431753235782,0.00709894402660459,0.00536882835232373,0.0164297093725557,0.0528152089506544,1.08151132799013,0.614506290144386,1.03669437913422,0.0900167982364732
40127,IM,6,0.328888888888889,0.144444444444444,1.36219957826636,1.05390177137638,0.402557777777778,0.240486666666667,1.56220414387832,0.74715691983879,0.0502720486839245,0.0570630111721609,0.111475161159987,0.170194335162402,-1.46540455019184,-1.68309067904706,-1.7941626056492,1.80232115977828
