"Trait","State1_Label","State2_Label","bin_id","bin_start_age","bin_end_age","n_sims","prop_State1_mean","prop_State1_sd","prop_State2_mean","prop_State2_sd","rate_1to2_mean","rate_1to2_sd","rate_2to1_mean","rate_2to1_sd"
"GF","GF_W","GF_H",82,81,82,1000,0.405689618943778,0.0207652165603395,0.594310381056221,0.0207652165603395,0.00369595471541301,0.00575288169450068,0.00610095554094429,0.00611874451780256
"GF","GF_W","GF_H",83,82,83,1000,0.405237461748572,0.0211547240057825,0.594762538251428,0.0211547240057825,0.00397560711811545,0.00614507339855139,0.00525652816880182,0.00558245000512946
"GF","GF_W","GF_H",84,83,84,1000,0.40458612468739,0.0215774042587948,0.59541387531261,0.0215774042587948,0.0035805345120158,0.00588672020044486,0.00541151324642364,0.00599202247936391
"GF","GF_W","GF_H",85,84,85,1000,0.405031641607128,0.0226356172685172,0.594968358392872,0.0226356172685171,0.00401530461439174,0.00624215723300984,0.00572413039330749,0.00597149690707822
"GF","GF_W","GF_H",86,85,86,1000,0.403672364978419,0.0238349158186739,0.596327635021581,0.0238349158186739,0.00408720609000539,0.00653088494890617,0.00577612035179138,0.00629669289762717
"GF","GF_W","GF_H",87,86,87,1000,0.40186530217775,0.0237990869490604,0.59813469782225,0.0237990869490604,0.004071142593402,0.00660537206449653,0.00557406952815187,0.00622695253320571
"GF","GF_W","GF_H",88,87,88,1000,0.394779217187891,0.0244506206819942,0.605220782812109,0.0244506206819942,0.00374062050299706,0.00673654435584749,0.00607434732213007,0.00674593435156115
"GF","GF_W","GF_H",89,88,89,1000,0.384463251749987,0.0249071424035569,0.615536748250013,0.024907142403557,0.00413537682288866,0.00691298863107032,0.00582093554861447,0.0067180763764323
"GF","GF_W","GF_H",90,89,90,1000,0.370909786939103,0.0257107159537508,0.629090213060897,0.0257107159537509,0.00422305373399051,0.00736634492597862,0.0060648122769042,0.00672701186457387
"GF","GF_W","GF_H",91,90,91,1000,0.367203160805992,0.0256932290524413,0.632796839194008,0.0256932290524413,0.0036847604921891,0.00736033291341016,0.00541512857318359,0.00655901651434257
"GF","GF_W","GF_H",92,91,92,1000,0.364465023104871,0.0267862098815039,0.63553497689513,0.0267862098815039,0.00379853149579841,0.00759143643538476,0.00575456857940199,0.00692852276219977
"GF","GF_W","GF_H",93,92,93,1000,0.375091756053342,0.0282662643573745,0.624908243946658,0.0282662643573746,0.00399719025465386,0.00806280130840052,0.00547959617733789,0.00686902300885301
"GF","GF_W","GF_H",94,93,94,1000,0.382155649232029,0.0299601118006307,0.617844350767971,0.0299601118006307,0.00425752112320199,0.0086089242521365,0.00604255549789271,0.0079766880219104
"GF","GF_W","GF_H",95,94,95,1000,0.398415438927258,0.0321757813137598,0.601584561072742,0.0321757813137598,0.00379811688879643,0.00816353307056241,0.00552490935143213,0.00779966298862924
"GF","GF_W","GF_H",96,95,96,1000,0.414533475961164,0.0343867074792692,0.585466524038836,0.0343867074792692,0.00436753918036332,0.00910154767757779,0.00589150157101436,0.00821281301744359
"GF","GF_W","GF_H",97,96,97,1000,0.414766812794871,0.0351731097766262,0.585233187205129,0.0351731097766262,0.00426716134031809,0.00880589655997689,0.0062052285129783,0.0084195116913325
"GF","GF_W","GF_H",98,97,98,1000,0.410327940607707,0.0360551377245721,0.589672059392293,0.0360551377245721,0.00412519435071491,0.00850884850177484,0.00637355127470452,0.00897001087001971
"GF","GF_W","GF_H",99,98,99,1000,0.406791884831625,0.0365185133704025,0.593208115168375,0.0365185133704025,0.00368230714390466,0.00877455687473661,0.00589043667246555,0.00895305142084257
"GF","GF_W","GF_H",100,99,100,1000,0.411126435802097,0.0381652022030396,0.588873564197903,0.0381652022030396,0.00380397738037794,0.00890247520292184,0.00625746926454063,0.00951321750798471
"GF","GF_W","GF_H",101,100,101,1000,0.413510771816516,0.0391736194517655,0.586489228183484,0.0391736194517655,0.004036253105328,0.00915818044744687,0.00617607007291458,0.00968096676819629
"GF","GF_W","GF_H",102,101,102,1000,0.40650347790336,0.0395952904430024,0.59349652209664,0.0395952904430024,0.00399444766183944,0.00934755221508631,0.00624104813393158,0.00988211005528575
"GF","GF_W","GF_H",103,102,103,1000,0.414497378648087,0.0394428103972259,0.585502621351913,0.0394428103972259,0.00405502125058706,0.00928138014657179,0.00554150012122589,0.00915322509026909
"GF","GF_W","GF_H",104,103,104,1000,0.424115055013732,0.0416343465323093,0.575884944986268,0.0416343465323093,0.00394397845220707,0.00959291731340258,0.00609609723517264,0.0101361925040424
"GF","GF_W","GF_H",105,104,105,1000,0.433348441977418,0.0440108696680626,0.566651558022582,0.0440108696680626,0.00326436183889962,0.00874007550020876,0.00539261442018546,0.0101954458572061
"GF","GF_W","GF_H",106,105,106,1000,0.445390471378045,0.0452476351797305,0.554609528621955,0.0452476351797305,0.00381500953736306,0.00970015351479481,0.00417350904582361,0.0091570553736628
"GF","GF_W","GF_H",107,106,107,1000,0.454023940644032,0.0451713486539291,0.545976059355968,0.0451713486539291,0.00368087250192417,0.00938315873507296,0.0047269204617622,0.0100681046559163
"GF","GF_W","GF_H",108,107,108,1000,0.454844312431894,0.0471326658860763,0.545155687568106,0.0471326658860763,0.00355959773092106,0.00945451451987373,0.00474091041661616,0.00996435044320142
"GF","GF_W","GF_H",109,108,109,1000,0.45414874512315,0.0497264315354264,0.54585125487685,0.0497264315354264,0.00367030810183702,0.0101345939753433,0.00396748518417216,0.00959871229683252
"GF","GF_W","GF_H",110,109,110,1000,0.447413894522738,0.0524048575651663,0.552586105477262,0.0524048575651663,0.00334009850858877,0.0100828030341688,0.00387770612978052,0.00961683054322781
"GF","GF_W","GF_H",111,110,111,1000,0.447796581111055,0.0543161150061406,0.552203418888945,0.0543161150061406,0.00363726444237871,0.0107111524806476,0.00442989293604073,0.0108116926702684
"GF","GF_W","GF_H",112,111,112,1000,0.449570779121428,0.0569544778108154,0.550429220878572,0.0569544778108155,0.00311597232242984,0.0104667709992158,0.00424959275682636,0.0106224275777616
"GF","GF_W","GF_H",113,112,113,1000,0.466431330861895,0.0598300728681854,0.533568669138105,0.0598300728681854,0.00359816760666402,0.0107309047714004,0.00466916192300327,0.0119104612372571
"GF","GF_W","GF_H",114,113,114,1000,0.47526359385057,0.0601254448626693,0.52473640614943,0.0601254448626693,0.00380888875251745,0.0117509105412402,0.00478783994706901,0.0124046163630532
"GF","GF_W","GF_H",115,114,115,1000,0.473446988631958,0.061482240689055,0.526553011368042,0.061482240689055,0.00467647553443104,0.0125007140772578,0.00381261177521144,0.0106959164722103
"GF","GF_W","GF_H",116,115,116,1000,0.482129142032481,0.0600587962484472,0.517870857967519,0.0600587962484472,0.00386527480104997,0.0126702775294485,0.00416877130781123,0.0121509970485912
"GF","GF_W","GF_H",117,116,117,1000,0.468387215705889,0.0633161763559151,0.531612784294111,0.0633161763559151,0.0040303568383785,0.0130796672179941,0.00404785579020655,0.0122986602255221
"GF","GF_W","GF_H",118,117,118,1000,0.455223708898203,0.073447234862621,0.544776291101797,0.073447234862621,0.0037058271577034,0.0133265700530603,0.00473222062862073,0.0145170527615182
"GF","GF_W","GF_H",119,118,119,1000,0.453831752518235,0.0822860117480214,0.546168247481765,0.0822860117480214,0.00470077403832264,0.0161281690255167,0.00410139571570094,0.0136265573524052
"GF","GF_W","GF_H",120,119,120,1000,0.419174231120399,0.0919947556415638,0.580825768879601,0.0919947556415638,0.00425427398935008,0.0176019414521967,0.00453659557980468,0.0150204331624066
"GF","GF_W","GF_H",121,120,121,1000,0.405414321590981,0.0999296650095752,0.594585678409019,0.0999296650095751,0.00489354188117881,0.0193775272250314,0.0049456144587224,0.0160741142231046
"GF","GF_W","GF_H",122,121,122,1000,0.401275857301203,0.113085926105553,0.598724142698797,0.113085926105553,0.00489260848341229,0.0204806609156346,0.00537818835679153,0.0177638986531651
"GF","GF_W","GF_H",123,122,123,1000,0.412267429478026,0.122517464316488,0.587732570521974,0.122517464316488,0.00353995679442658,0.0180623749526139,0.00509036049272183,0.0195202726953887
"GF","GF_W","GF_H",124,123,124,1000,0.423507695717098,0.125519245077292,0.576492304282902,0.125519245077292,0.00473182043182136,0.0221671566554291,0.00600503186853249,0.0214699464961553
"GF","GF_W","GF_H",125,124,125,1000,0.423554584290751,0.135630534566818,0.576445415709249,0.135630534566818,0.00606175205612967,0.0245590244541563,0.00628764810886112,0.0241435789671642
"GF","GF_W","GF_H",126,125,126,1000,0.440633423687475,0.143846037383993,0.559366576312525,0.143846037383993,0.00532965299400493,0.0233348512158338,0.00622652211458256,0.0246681598302102
"GF","GF_W","GF_H",127,126,127,1000,0.42008809872567,0.152366410759325,0.57991190127433,0.152366410759325,0.00571283988812692,0.0267694474646158,0.00400293630482982,0.0183773405138167
