GlobalID,ECO_ID
G057469,40171
G011549,30702
G109709,81017
G260480,10412
G009460,11308
G126604,11203
G152301,61304
G184794,60103
G017881,80402
G252824,50516
G142043,10702
G312568,80412
G155709,30726
G203800,60140
G149095,60140
G174252,30722
G211131,60128
G078696,31203
G110635,50701
G115685,60102
G284185,50804
G273179,30112
G031010,50510
G112724,80413
G189215,60235
G170496,80406
G240299,10705
G060610,60204
G143498,11210
G310302,60212
G279831,80806
G278007,50410
G324231,11202
G184004,60129
G231748,80516
G145987,30202
G327267,51201
G267712,81215
G189464,60703
G134546,30721
G330432,50302
G333729,60143
G327518,60118
G321910,60404
G209547,10803
G136827,11207
G193610,60150
G180554,40211
G290595,80402
G095302,81003
G027921,60167
G266834,31316
G082922,51113
G106777,80907
G258856,10705
G262334,50508
G005547,31003
G128841,60702
G097357,31004
G200253,60115
G024600,40107
G060716,60704
G177919,60217
G133418,11304
G038576,81207
G127468,11002
G264421,30725
G029192,40155
G023339,10117
G332905,10101
G030099,60145
G143695,81214
G199541,60182
G213716,31004
G037997,31314
G185192,80417
G113702,50416
G293514,80427
G096683,31322
G201251,61006
G034696,40137
G145327,60309
G260048,50413
G321403,50806
G283841,80440
G150483,50527
G008477,61305
G157425,80446
G183028,60159
G036944,50527
G100362,80428
G331541,80408
G102696,60174
G229925,60704
G115159,60212
G273230,30120
G168910,60153
G080510,80443
G105097,31006
G094118,60160
G151915,60150
G335820,81222
G291526,80611
G055458,80602
G193366,11203
G089884,60904
G076495,81208
G263396,11206
G032906,60704
G261863,81221
G215722,51313
G053463,30712
G221421,50616
G193821,10123
G322586,60162
G216295,50411
G048764,80514
G277486,50416
G264578,10410
G032087,60118
G135237,81332
G102473,10703
G078677,50403
G098762,81218
G286086,50502
G180275,81214
G044336,60309
G187974,50411
G277572,81208
G039728,31004
G174237,60704
G330427,60211
G082408,51308
G097216,60176
G026257,50517
G123246,10406
G102192,31012
G149564,50801
G213940,60156
G271901,10107
G323047,60233
G271889,30117
G158735,80514
G173081,40102
G196674,50416
G049717,80503
G204629,10706
G060903,10412
G203595,60111
G276188,80408
G110199,50811
G080436,11003
G095513,81217
G084252,81303
G126533,10113
G270857,11203
G283237,10117
G273142,10803
G107647,31311
G136582,11304
G195034,10705
G007951,80510
G098902,50417
G302454,50303
G080517,50802
G068587,80412
G175871,60170
G260707,60148
G286079,80432
G107403,61308
G284820,81220
G222271,10412
G184317,60142
G173593,80417
G108846,81203
G291209,60103
G298303,60160
G154869,30115
G277146,61003
G319154,80441
G123977,31202
G080387,80431
G175292,81214
G132029,80431
G270198,11307
G137130,60801
G144054,31309
G070550,80436
G294870,80818
G270861,61402
G025931,30715
G212057,60166
G141983,40202
G085543,10412
G305574,30102
G137889,40112
G009177,80424
G294785,10405
G310633,31203
G303996,30723
G269978,30103
G095038,60154
G332104,81330
G138680,81303
G200812,60175
G008634,50405
G041844,81003
G204185,31311
G071700,50808
G223338,40163
G045165,81020
G114866,10706
G263959,50414
G325659,41303
G279304,80501
G122003,60166
G243236,60162
G063114,80444
G314577,80434
G151496,80814
G110777,60303
G196874,60709
G117168,50403
G043296,31201
G188501,50414
G059377,80434
G211537,81212
G009696,81303
G300503,40119
G053854,51201
G299261,80431
G309467,31322
G270693,10705
G145921,10105
G285282,10405
G217341,80432
G027909,60130
G061351,10107
G260674,60803
G294017,10801
G333928,60707
G090759,60128
G038858,40118
G053876,60178
G259214,60133
G025716,30117
G031290,60121
G131788,40102
G117116,60160
G174632,60212
G318031,80440
G020891,60104
G111476,40167
G145725,50303
G117206,50302
G114044,31004
G099213,10403
G086242,60152
G100156,80419
G279251,60704
G082082,80809
G030993,60155
G157354,51305
G251756,60703
G167584,60115
G087769,60121
G149336,60305
G294185,60113
G137080,60802
G110587,60803
G290849,11206
G257423,40151
G041166,60175
G203397,30130
G242590,50407
G249694,40102
G111809,60109
G208557,60215
G070885,80436
G045246,81214
G153788,81001
G100096,50804
G148848,30707
G200950,60142
G215722,50605
G313064,50516
G272384,70202
G208776,30102
G235092,60145
G294931,80445
G027394,40102
G241496,60310
G283315,30104
G078704,60303
G242303,60211
G099096,30121
G165020,40103
G307647,30117
G268464,70107
G332942,51304
G268462,60303
G065100,80417
G013687,40126
G155473,80808
G008614,81209
G152254,60153
G044323,11002
G273646,30704
G277766,60101
G215913,80429
G253333,40144
G268923,11208
G291132,50814
G171576,51302
G116290,61305
G106874,81317
G084593,50527
G279003,60161
G260801,60303
G008589,51202
G272850,30109
G065349,80518
G265240,80810
G092517,51302
G203432,30128
G254015,10120
G186673,30704
G035288,40108
G273493,81327
G314730,60148
G109520,40701
G318066,51116
G008848,80503
G101259,10202
G146952,61305
G130925,40158
G008034,50804
G123700,31203
G093302,51304
G210361,60160
G163413,40163
G159712,60310
G295521,60107
G203289,40162
G084663,80504
G068604,11207
G055408,11003
G333889,60703
G078942,60117
G010638,80416
G162325,60146
G321341,30717
G186092,61002
G333165,50405
G103805,60150
G269631,50517
G157440,51202
G144129,30125
G277773,40107
G149113,60180
G122529,50508
G329445,60211
G010381,81323
G285186,50413
G097687,50411
G232417,60309
G298179,30704
G010909,80814
G232447,61006
G107804,50411
G122070,10409
G215705,30107
G332348,30711
G304733,30102
G083987,80808
G066361,51305
G279337,80446
G251998,40163
G050804,50530
G009013,60710
G195028,40301
G298037,61402
G028773,50804
G009707,60206
G277774,30129
G079173,81003
G190919,60205
G187970,30704
G260083,31007
G072102,60310
G088458,60136
G139666,80446
G122516,50303
G333679,60135
G070735,81021
G246812,31009
G025343,60209
G201091,60136
G306425,30110
G277117,50403
G083202,50511
G063361,80445
G246555,80503
G113710,50529
G156487,81215
G270770,60146
G107289,70202
G259514,50527
G036460,81210
G187156,10701
G323385,60129
G099011,80503
G047164,10403
G121065,60142
G032609,60153
G081942,80501
G286770,80436
G279824,80440
G093066,51308
G155482,50510
G208126,10412
G173210,31312
G266167,50805
G127884,60704
G160192,60202
G120523,40104
G329539,80602
G154151,60709
G262313,50409
G113128,50528
G270608,40170
G229401,81209
G038264,50804
G102041,50303
G277545,81001
G284631,10406
G277147,51301
G005836,40128
G153760,80808
G081869,60217
G020136,80406
G108576,50514
G260567,81309
G095683,31005
G324158,60106
G006942,11202
G115612,60136
G323277,30711
G159840,50303
G260887,50527
G201812,31011
G258013,60166
G084642,10802
G065264,80514
G135237,40121
G082769,80509
G299102,10409
G155697,30711
G092850,50403
G175502,60145
G100322,61002
G081255,50511
G118922,61304
G259774,10703
G300396,61403
G266408,30725
G106964,81207
G311418,60132
G311528,10107
G180407,80405
G098525,60154
G251269,60121
G306669,60211
G145388,50805
G312535,60180
G333187,60230
G292695,80408
G013646,40158
G081197,51202
G247116,60310
G298883,80501
G266367,51202
G205807,60174
G307517,30101
G287393,81325
G221330,30725
G079035,50801
G189774,40137
G120803,10111
G322377,60103
G089922,30102
G330798,80402
G269526,80401
G314988,60121
G170412,50510
G168897,60160
G172155,51202
G275007,50528
G032010,30117
G268329,80507
G098648,81218
G057263,80412
G308308,60154
G044211,50303
G001570,30118
G136427,11201
G132780,30111
G113995,80501
G018955,61006
G291825,80445
G259463,50813
G132123,30119
G096901,81013
G180360,81209
G195487,10801
G295088,80101
G020034,60310
G097732,80415
G168388,80514
G204921,60129
G281654,11202
G206276,60180
G271722,11101
G039894,10402
G196225,30126
G299321,30722
G155933,60310
G005747,41001
G154684,30706
G326465,31004
G280241,60181
G208121,51201
G110443,50303
G259120,60404
G216154,60309
G277279,80810
G160081,81221
G114112,80416
G332935,80424
G184104,60103
G177266,50808
G110750,61315
G157952,30711
G193944,60167
G069188,10402
G203666,30722
G303730,60121
G017453,80405
G118029,50415
G316577,60707
G214735,60124
G058327,50503
G090867,80430
G214357,30706
G178728,50807
G084093,31203
G043040,80517
G102155,60160
G096883,51304
G115534,10703
G035426,60907
G256017,70106
G252653,60103
G312853,51312
G283696,81210
G004090,61314
G288723,60153
G261064,10801
G147575,40149
G117849,60710
G297064,10406
G203226,81222
G052851,41001
G282562,31322
G260916,80401
G105727,50513
G028058,60119
G038375,51304
G208740,60173
G064976,81012
G027649,60107
G138100,31314
G283929,50509
G277222,80424
G122860,80443
G173745,50201
G059420,80518
G159874,30719
G115988,50815
G028561,60709
G038797,80520
G295174,81017
G029347,10117
G057295,80440
G049736,61004
G177266,40137
G213482,40103
G311940,60109
G312742,50605
G120855,60129
G047468,81216
G041167,50303
G257613,40172
G169125,30119
G330965,50401
G080387,80515
G291938,50507
G325604,31009
G076700,80818
G134871,60233
G163249,60178
G135753,10704
G004219,40149
G204606,11309
G199371,60160
G215200,80810
G330367,30712
G181228,30101
G312513,50809
G064689,60104
G259616,81220
G094691,80406
