ECO_ID,AMT,MDTR,TS,AP,PS,AI,PET,SRAD,Wind,AMTd,APd,Elev,Slope,Sand,SOC,PH
70702,23.91071806,1.796409715,132.9199578,743.0702218,44.67634636,0.458085904,2069.052691,18696.90641,5.027685906,2.985704808,-231.6271815,135.0980942,3.18382618,41.23510638,2.403085074,5.939840374
80101,15.27513618,6.841835978,703.7384284,1227.740543,63.25625863,1.149323027,1064.962119,12732.04953,1.735893361,5.596011514,182.1481156,924.1404793,4.781865656,40.17316321,1.906249637,5.608554873
80102,15.18030849,7.733557722,471.9970116,1010.009157,85.4945537,0.797986737,1267.329154,14281.41408,1.97518221,6.492936381,81.67554224,1830.014502,6.180043919,39.5217819,1.994806102,5.518164437
80401,9.570342784,7.711199938,642.3922318,945.5593339,28.20691807,0.968204887,1082.396006,14054.16198,2.990433937,6.589413803,-176.5945992,1031.651613,8.178264741,40.60918061,2.166284023,6.406649474
80402,10.90669358,6.433307999,529.8819387,777.7503934,16.93511348,0.873565936,894.526562,10944.68693,3.925481512,7.529585615,-25.83542008,82.17871553,0.562409564,41.91266915,3.738021349,5.58019148
80403,16.02064889,1.270360187,273.6481991,1191.00165,38.18421776,0.784668089,1305.099693,14376.79775,4.645030669,3.1324526,69.6873261,362.4018405,6.61511113,50.82954545,3.128445891,6.655397537
80404,11.5350398,8.543937659,779.9531777,634.0824795,23.86823883,0.560650239,1140.013345,13651.44757,2.38016675,5.628969616,16.83945379,398.4154313,2.750133851,34.02569681,117.8917374,6.258469798
80405,8.399936169,5.149670858,629.9851691,633.2664527,23.25353024,0.799041861,770.67047,9916.559261,4.065660621,18.94571941,-199.3522943,60.53304591,0.475722635,45.7793079,4.585966104,5.56330438
80406,12.09809011,7.151458573,441.0790775,1274.358593,37.73146571,1.104394656,1108.342628,13493.72149,3.174632709,4.520768763,-372.1231478,575.5970118,4.805093931,44.07017182,4.650285003,5.47409349
80407,12.98400203,8.770542972,774.2219221,662.1382955,42.73619647,0.402427811,1379.826374,15117.32696,2.27173235,4.545818637,287.4312199,1013.715542,6.154616842,42.23146345,0.542654789,6.263920478
80408,5.810769144,8.537472598,796.6235056,880.4714152,33.76868619,0.853496666,1038.155996,14087.92479,2.286002919,4.954713778,252.4887076,1637.785339,8.871206139,40.93823349,165.7245326,5.933189422
80409,9.350638441,4.657611746,385.0344459,1045.120286,18.91580822,1.521940914,706.3194039,9342.432335,4.725270131,11.92848192,-25.43750131,141.2401209,1.769447418,39.25179038,5.356524184,5.032364958
80410,10.85037392,10.36189316,812.7039524,410.8965037,45.59956569,0.292805706,1482.215307,17032.00746,2.235774268,6.956248158,41.75892111,1231.417441,2.488179797,42.74726914,2342.328328,7.086208732
80411,8.730751768,9.87639161,1034.88942,551.2391326,100.4634334,0.387602092,1328.718032,15512.6365,2.56404076,7.592150165,163.9652458,980.2238299,3.303765024,42.30168516,1.109982672,7.209073344
80412,8.111939506,7.183560506,791.983021,605.5680106,33.64505582,0.702006262,852.8434007,10841.02418,3.125600166,13.537214,-18.77303686,170.3724467,0.549823556,39.79229452,4.499368361,5.718786566
80413,11.64975331,7.472621703,942.9146969,1224.552874,85.19365569,1.109488005,1080.656175,13607.3222,2.215358273,8.568076071,85.49870343,235.4005899,3.364773609,39.89242144,1.943171209,5.266517519
80414,3.632514281,8.560994109,1193.847651,856.737229,93.36533648,0.928780175,893.4959542,13349.83342,2.201318083,8.717569483,146.1395262,909.7423301,4.962914938,36.50593842,2.551083418,5.978329487
80415,16.68332695,7.644098061,848.8849574,1309.496905,55.64605231,1.010072772,1246.830809,14451.76412,2.359155462,6.064865721,231.7968042,115.787012,1.443040517,36.96960322,1.041249537,5.103999845
80416,10.89241698,6.832907505,782.9465811,861.6306351,23.07718135,0.783122161,1115.823359,12807.60246,2.973608848,4.835349717,158.0858108,381.4267283,3.018822705,32.97747359,2.434240347,6.462058517
80417,14.50637648,7.566352256,759.4522159,1076.123523,69.67718272,0.990408044,1088.562764,12897.68357,1.751777591,6.536752455,148.1408201,792.0341991,6.132725898,40.99574193,1.677687652,5.897835398
80418,8.246936915,8.094310581,701.9618235,1356.3171,22.7179566,1.27872577,962.7495707,13086.74444,2.331563388,6.955548173,-190.9543512,975.2308703,6.586538677,38.07581893,2.83176483,6.61463784
80419,5.792821481,7.598174576,1039.895057,549.7790266,28.66733911,0.618115906,896.0547074,10842.41063,3.36880289,11.11032741,127.1820624,177.6688123,0.83120469,29.0887223,2.564145699,6.350745332
80420,10.46953004,10.31166734,917.9369505,592.3542507,60.01628975,0.39577112,1580.049194,17106.34601,2.07487124,8.199594436,38.61843233,1439.671149,5.273499627,39.26172562,2902.759198,6.666319713
80421,10.24106841,5.620605631,437.6797792,717.712638,16.23548787,0.881071293,798.7475704,9937.558823,4.284898685,8.410468653,-22.87167777,78.30877519,0.889604042,31.38568995,1.427000033,5.089200708
80422,11.54537856,7.266561099,704.3946413,922.6134202,29.70971401,0.684331657,1199.742689,14765.05907,2.298687109,4.356091265,124.5046333,634.4442342,5.56401633,39.24773825,970.6274746,6.451219257
80423,7.456439009,5.434853259,882.7694857,1199.227542,33.02098787,1.364261175,813.4103409,11939.56197,3.566696226,9.264881822,215.581475,168.8634797,2.582184731,32.17637987,3.266942143,5.512364712
80424,13.8508553,9.003162189,964.4207705,698.6362376,95.21969395,0.477176899,1396.267509,15616.88019,2.532489429,6.573782525,221.156932,147.8844124,0.758549743,37.54721077,0.524422278,6.369340115
80425,15.38467742,1.006003584,234.3932796,2026.897849,62.24103943,0.451981681,1451.421698,16123.08098,5.289779875,4.150602686,71.2208032,677.7650943,10.885163,50.29919137,3.020934281,6.516621555
80426,2.764011473,8.471407758,1392.319886,663.466983,97.79561736,0.682216079,953.4961464,13281.04947,2.601293283,9.803591375,134.1767842,383.0935215,2.4780654,32.81593937,3.550798372,5.862557667
80427,13.92592295,4.806820303,784.8885449,2032.159709,26.80375937,1.730792187,1091.653329,12656.08752,3.51041264,8.390117949,313.2236225,216.9079538,3.586618781,43.84287788,1.604588995,4.97684132
80428,10.27650591,5.552525112,817.7866963,1623.293656,30.19448353,1.728668602,925.0839196,12254.18264,3.430449878,8.031197194,179.3010031,526.1876329,5.015581999,37.05492176,3.297751965,5.622625757
80429,8.836438249,3.09639254,317.5298105,1432.936538,25.24181472,2.297801258,650.1600968,8662.961024,5.7691141,12.94308253,101.3156822,146.1833399,2.924472443,35.66756282,20.68655959,4.770888391
80430,6.501033289,8.820668705,1328.907984,542.6638986,108.1375532,0.44513247,1233.26891,14508.35407,3.29024809,9.483761121,145.0451926,189.6979802,0.598694929,37.33371195,1.45863491,6.476015092
80431,10.5228546,8.190677435,779.3856747,698.2286858,27.86925914,0.683230201,1012.24296,12338.93664,2.313360842,7.280422162,-13.28332113,236.1356032,1.453401968,35.68777843,2.545332324,6.241884004
80432,13.99893076,8.244280691,722.5593716,897.9673223,20.31938647,0.780950226,1068.548837,13043.68413,1.364987854,6.443794734,10.17614774,80.94366035,0.519033517,35.10244871,1.236879708,5.734044852
