ECO_ID,Long,Lat,Area,Realm
40145,102.7020547,3.194045248,3610.13,IM
40146,102.3079964,3.93670635,124944.15,IM
40147,105.9915394,20.83454042,10724.14,IM
40148,113.8653406,13.62040616,30.54,IM
40149,109.6318812,22.22117689,223723.61,IM
40150,76.81391314,10.76154836,23675.69,IM
40151,76.46072844,10.9128308,22545.05,IM
40152,107.6870607,14.15209183,46313.53,IM
40153,112.9192655,-1.786655911,36602.9,IM
40154,80.39100892,6.777113324,12500.13,IM
40155,80.81252918,6.978692522,3065.68,IM
40156,120.5831298,5.596214346,2325.99,IM
40157,102.3734114,-0.429905751,17994.65,IM
40158,101.3378623,-0.629671026,258288.35,IM
40159,99.97347161,0.386108387,72617.82,IM
40160,103.2188123,-0.754497743,87120.48,IM
40161,113.768978,-0.886505656,76205.25,IM
40162,89.18000684,22.72871895,14524.74,IM
40163,99.22852483,10.36707904,96929.74,IM
40164,104.9075472,11.62654396,25925.69,IM
40165,105.2740431,10.91660625,29262.46,IM
40166,80.15361239,27.03767554,262642.65,IM
40167,108.2270344,-7.090500179,26170.83,IM
40168,107.8796323,-6.918252513,41480.9,IM
40169,109.5888475,19.15897502,15488.84,IM
40170,128.3149218,27.51748023,4063.6,IM
40171,120.6842952,22.38927458,2570.09,IM
40172,120.982888,23.85200859,33322.39,IM
40201,78.40775554,18.80287933,239408.95,IM
40202,103.3078332,15.47350144,318937.06,IM
40203,85.44635496,23.62451419,122133.89,IM
40204,79.66990938,11.90251635,25431.96,IM
40205,95.50339165,20.7242332,34987.09,IM
40206,75.23920309,24.48652022,266385.96,IM
40207,77.93735255,22.76046413,169457.97,IM
40208,83.2940039,20.48727613,58154.06,IM
40209,77.68706002,11.69991364,81925.44,IM
40210,106.1723432,13.20538385,123784.07,IM
40211,108.5678101,13.53581053,34904.86,IM
40212,80.80663538,7.786014654,48212.84,IM
40301,78.70868278,30.69698139,76125.44,IM
40302,120.9338924,16.98137602,7052.45,IM
40303,94.54843227,25.47199867,9685.49,IM
40304,98.32594021,2.424030215,2748.02,IM
40401,92.10538968,27.64030179,82915.8,IM
40402,97.06885929,27.31037242,10708.54,IM
40403,76.72178435,32.33491641,55824.86,IM
40501,91.21115999,27.90205642,27435.85,IM
40502,76.55088808,32.36328938,39650.08,IM
40701,84.38627759,27.50977982,34523.88,IM
40901,69.97140517,23.84375156,27838.74,IM
41001,116.4180357,5.746389748,4320.05,IM
41301,76.80347741,15.90858814,339068.19,IM
41302,71.50786212,31.27186248,19479.4,IM
41303,71.89980332,27.84333568,487534.55,IM
41304,71.95762429,27.32336126,238253.87,IM
41401,82.37565465,16.46712632,6979.78,IM
41402,104.2620539,10.77937746,26762.15,IM
41403,69.33234696,23.27270131,5778.65,IM
41404,95.99152746,15.03504085,21237.92,IM
41405,110.5930346,0.840021101,37279.84,IM
41406,89.69486853,22.19268364,20382.9,IM
50201,-109.5850525,27.98465887,50902.61,NA_Realm
50301,-64.75632469,32.31143189,39.39,NA_Realm
50302,-106.7177303,26.55667516,222333.97,NA_Realm
50303,-100.8838045,25.14645496,65496.4,NA_Realm
